table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2020 to July 1, 2024",,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,
,,2020,2021,2022,2023,2024
California,"39,555,674","39,521,958","39,142,565","39,142,414","39,198,693","39,431,263"
".Alameda County, California","1,682,296","1,680,614","1,643,856","1,635,693","1,638,142","1,649,060"
".Alpine County, California","1,176","1,179","1,203","1,169","1,126","1,099"
".Amador County, California","40,497","40,584","41,245","41,486","41,798","42,026"
".Butte County, California","211,632","210,222","206,351","207,384","207,354","208,334"
".Calaveras County, California","45,284","45,350","46,262","46,544","46,580","46,505"
".Colusa County, California","21,837","21,868","21,931","21,952","22,093","22,074"
".Contra Costa County, California","1,165,983","1,166,165","1,163,813","1,160,296","1,162,179","1,172,607"
".Del Norte County, California","27,742","27,616","27,581","26,758","26,571","27,009"
".El Dorado County, California","191,185","191,250","193,724","193,071","192,440","192,823"
".Fresno County, California","1,008,649","1,009,613","1,012,879","1,017,107","1,019,899","1,024,125"
".Glenn County, California","28,919","28,889","28,714","28,371","28,190","28,304"
".Humboldt County, California","136,467","136,324","134,978","135,013","134,009","132,380"
".Imperial County, California","179,710","179,730","179,206","179,767","180,585","181,724"
".Inyo County, California","19,024","18,999","18,920","18,745","18,548","18,485"
".Kern County, California","909,233","906,124","912,782","917,293","916,646","922,529"
".Kings County, California","152,484","152,797","152,724","152,776","153,281","154,913"
".Lake County, California","68,164","68,200","68,623","68,239","67,934","67,764"
".Lassen County, California","32,733","32,319","31,884","30,401","28,838","28,340"
".Los Angeles County, California","10,017,401","9,996,634","9,809,239","9,748,447","9,731,837","9,757,179"
".Madera County, California","156,254","156,434","159,019","160,414","163,402","165,432"
".Marin County, California","262,325","261,341","259,254","257,143","255,706","256,400"
".Mariposa County, California","17,128","17,133","17,136","17,095","16,996","17,048"
".Mendocino County, California","91,587","91,362","91,303","90,027","89,354","89,175"
".Merced County, California","282,447","282,963","284,834","292,034","294,402","296,774"
".Modoc County, California","8,699","8,677","8,640","8,625","8,566","8,491"
".Mono County, California","13,196","13,225","13,263","13,055","13,207","12,991"
".Monterey County, California","441,012","440,506","439,245","436,427","435,637","436,251"
".Napa County, California","138,014","137,465","136,219","134,492","133,444","132,727"
".Nevada County, California","102,236","102,267","103,499","102,356","102,086","102,195"
".Orange County, California","3,187,256","3,186,261","3,159,351","3,158,489","3,154,563","3,170,435"
".Placer County, California","404,752","405,951","412,968","418,439","424,599","433,822"
".Plumas County, California","19,800","19,761","19,965","19,433","19,120","18,834"
".Riverside County, California","2,419,967","2,424,663","2,455,225","2,479,628","2,503,549","2,529,933"
".Sacramento County, California","1,585,030","1,586,727","1,588,824","1,588,743","1,594,506","1,611,231"
".San Benito County, California","64,209","64,533","66,703","67,715","68,341","69,159"
".San Bernardino County, California","2,181,664","2,183,526","2,190,877","2,196,029","2,200,805","2,214,281"
".San Diego County, California","3,298,647","3,301,182","3,274,244","3,283,755","3,285,890","3,298,799"
".San Francisco County, California","878,392","874,826","815,498","814,176","819,151","827,526"
".San Joaquin County, California","779,232","780,676","788,096","795,880","805,909","816,108"
".San Luis Obispo County, California","282,448","281,924","279,468","282,535","282,007","281,843"
".San Mateo County, California","764,659","762,727","739,330","732,485","734,267","742,893"
".Santa Barbara County, California","448,217","448,083","437,117","445,286","443,521","444,500"
".Santa Clara County, California","1,936,278","1,924,802","1,878,320","1,883,653","1,897,137","1,926,325"
".Santa Cruz County, California","272,140","271,768","260,904","265,851","263,699","262,406"
".Shasta County, California","182,452","182,190","182,243","180,972","180,656","181,121"
".Sierra County, California","3,235","3,229","3,298","3,215","3,180","3,113"
".Siskiyou County, California","44,079","43,999","44,144","43,746","42,941","42,498"
".Solano County, California","453,551","452,887","450,819","449,724","451,060","455,101"
".Sonoma County, California","488,862","488,501","484,561","483,398","483,366","485,375"
".Stanislaus County, California","553,285","553,710","552,939","552,410","553,921","556,972"
".Sutter County, California","99,635","99,479","99,121","98,682","98,457","98,545"
".Tehama County, California","65,905","65,690","65,467","65,269","64,959","64,451"
".Trinity County, California","16,116","16,095","16,102","15,777","15,684","15,642"
".Tulare County, California","473,121","473,944","476,939","478,288","480,747","483,546"
".Tuolumne County, California","55,623","55,397","55,126","53,951","54,123","53,893"
".Ventura County, California","844,363","843,808","840,009","835,032","833,071","835,427"
".Yolo County, California","217,867","217,768","213,545","223,338","222,919","225,251"
".Yuba County, California","81,575","82,001","83,035","84,335","85,695","87,469"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",,,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",,,,,,
Suggested Citation:,,,,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2020 to July 1, 2024 (CO-EST2024-POP-06)",,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Release Date: March 2025,,,,,,
